rotor_label,rotor_id,event_type,altitude_m,y_arm_m,arm_roll_m,expected_pdot_rads2,nz_max,nz_min,p_dot_max_rads2,p_dot_max_degs2,q_dot_max_rads2,q_dot_max_degs2,r_dot_max_rads2,r_dot_max_degs2,p_max_rads,p_max_degs,q_max_rads,r_max_rads,phi_max_deg,theta_max_deg,t_5deg_roll_s,t_30deg_roll_s,roll_moment_Nm
Lift Rotor L1,1,OEI,0.0,-1.5,1.5,0.5691573769168015,1.6815357736663412,-1.2805827515769668,0.004044520745615149,0.23173396887685288,1.483229014834466,84.98276260136187,0.4426951506416935,25.364563742677237,0.0036965920100011547,0.21179912075484797,1.0560998773255272,0.2984950553015846,76.79350338418801,87.25650718145266,2.37,2.68,3159.97412710525
Lift Rotor L2,2,OEI,0.0,-3.0,3.0,1.138314753833603,1.6815357736663412,-1.2805827515769668,0.004044520745615149,0.23173396887685288,1.483229014834466,84.98276260136187,0.4426951506416935,25.364563742677237,0.0036965920100011547,0.21179912075484797,1.0560998773255272,0.2984950553015846,76.79350338418801,87.25650718145266,2.37,2.68,6319.9482542105
Lift Rotor L3,3,OEI,0.0,-4.5,4.5,1.7074721307504044,1.6815357736663412,-1.2805827515769668,0.004044520745615149,0.23173396887685288,1.483229014834466,84.98276260136187,0.4426951506416935,25.364563742677237,0.0036965920100011547,0.21179912075484797,1.0560998773255272,0.2984950553015846,76.79350338418801,87.25650718145266,2.37,2.68,9479.92238131575
Lift Rotor R1,4,OEI,0.0,1.5,1.5,0.5691573769168015,1.6815357736663412,-1.2805827515769668,0.004044520745615149,0.23173396887685288,1.483229014834466,84.98276260136187,0.4426951506416935,25.364563742677237,0.0036965920100011547,0.21179912075484797,1.0560998773255272,0.2984950553015846,76.79350338418801,87.25650718145266,2.37,2.68,3159.97412710525
Lift Rotor R2,5,OEI,0.0,3.0,3.0,1.138314753833603,1.6815357736663412,-1.2805827515769668,0.004044520745615149,0.23173396887685288,1.483229014834466,84.98276260136187,0.4426951506416935,25.364563742677237,0.0036965920100011547,0.21179912075484797,1.0560998773255272,0.2984950553015846,76.79350338418801,87.25650718145266,2.37,2.68,6319.9482542105
Lift Rotor R3,6,OEI,0.0,4.5,4.5,1.7074721307504044,1.6815357736663412,-1.2805827515769668,0.004044520745615149,0.23173396887685288,1.483229014834466,84.98276260136187,0.4426951506416935,25.364563742677237,0.0036965920100011547,0.21179912075484797,1.0560998773255272,0.2984950553015846,76.79350338418801,87.25650718145266,2.37,2.68,9479.92238131575
