rotor_label,rotor_id,event_type,altitude_m,y_arm_m,arm_roll_m,expected_pdot_rads2,nz_max,nz_min,p_dot_max_rads2,p_dot_max_degs2,q_dot_max_rads2,q_dot_max_degs2,r_dot_max_rads2,r_dot_max_degs2,p_max_rads,p_max_degs,q_max_rads,r_max_rads,phi_max_deg,theta_max_deg,t_5deg_roll_s,t_30deg_roll_s,roll_moment_Nm
Lift Rotor L1,1,OEI,0.0,-1.5,1.5,0.5691573769168015,0.7543466993690029,-1.8090937652450694,0.27965442041382815,16.023018011889526,1.1416608386575209,65.41234769044196,0.1700613842097094,9.74379957336909,0.06804109867827217,3.8984677876981593,1.2489382624235779,0.13422567066440663,178.1961987877717,88.00045887074062,0.9500000000000001,1.205,3159.97412710525
Lift Rotor L2,2,OEI,0.0,-3.0,3.0,1.138314753833603,0.7541280356367315,-1.8289443170297663,0.5564109257970754,31.87999772313924,1.1376160469588488,65.1805981970985,0.37544583583640934,21.511461829187812,0.13032066149244503,7.466823886870168,1.2481462237064185,0.63255017365612,165.31604894317167,83.78394885919164,0.665,1.11,6319.9482542105
Lift Rotor L3,3,OEI,0.0,-4.5,4.5,1.7074721307504044,0.7507620403371013,-1.8329574530495123,0.8370313178877639,47.95836183524204,1.1319311295983892,64.85487642546352,0.3807531619718452,21.815549217247764,0.20022103280122883,11.47182014926083,1.2466377659903778,0.6037144211160498,166.91182264102912,82.57859061322687,0.5650000000000001,1.075,9479.92238131575
Lift Rotor R1,4,OEI,0.0,1.5,1.5,0.5691573769168015,0.7543466993690029,-1.8090937652450694,0.27965442041382815,16.023018011889526,1.1416608386575209,65.41234769044196,0.1700613842097094,9.74379957336909,0.06804109867827217,3.8984677876981593,1.2489382624235779,0.13422567066440663,178.1961987877717,88.00045887074062,0.9500000000000001,1.205,3159.97412710525
Lift Rotor R2,5,OEI,0.0,3.0,3.0,1.138314753833603,0.7541280356367315,-1.8289443170297663,0.5564109257970754,31.87999772313924,1.1376160469588488,65.1805981970985,0.37544583583640934,21.511461829187812,0.13032066149244503,7.466823886870168,1.2481462237064185,0.63255017365612,165.31604894317167,83.78394885919164,0.665,1.11,6319.9482542105
Lift Rotor R3,6,OEI,0.0,4.5,4.5,1.7074721307504044,0.7507620403371013,-1.8329574530495123,0.8370313178877639,47.95836183524204,1.1319311295983892,64.85487642546352,0.3807531619718452,21.815549217247764,0.20022103280122883,11.47182014926083,1.2466377659903778,0.6037144211160498,166.91182264102912,82.57859061322687,0.5650000000000001,1.075,9479.92238131575
