rotor_label,rotor_id,event_type,altitude_m,r_dot_max_rads2,r_dot_max_degs2,p_dot_max_rads2,p_dot_max_degs2,r_max_rads,r_max_degs,phi_max_deg,nz_max,nz_min,jam_torque_Nm
Lift Rotor L1,1,JAM,0.0,0.3591228027401062,20.576220923917283,0.27675650538324725,15.856979711249716,0.27787427707031725,15.921023311378045,176.2964084369318,0.7543389349992076,-1.8118883532491483,488.5200045842618
Lift Rotor L2,2,JAM,0.0,0.38967092078960575,22.32649916022102,0.5593088408276563,32.04603602377905,0.6284816061946458,36.00934353655626,166.74980058148535,0.754143699675792,-1.8261639159340242,488.5200045842618
Lift Rotor L3,3,JAM,0.0,0.3647817450537831,20.900454434998963,0.8341334028571832,47.79232353460224,0.6087195545585921,34.87706138329077,165.44731240251198,0.7507390401976741,-1.8383259913786525,488.5200045842618
Lift Rotor R1,4,JAM,0.0,0.35912280274010644,20.576220923917294,0.27675650538324725,15.856979711249716,0.27787427707031737,15.92102331137805,176.2964084369318,0.7543389349992076,-1.8118883532491483,488.5200045842618
Lift Rotor R2,5,JAM,0.0,0.38967092078960575,22.32649916022102,0.5593088408276563,32.04603602377905,0.6284816061946458,36.00934353655626,166.74980058148535,0.754143699675792,-1.8261639159340242,488.5200045842618
Lift Rotor R3,6,JAM,0.0,0.3647817450537831,20.900454434998963,0.8341334028571832,47.79232353460224,0.6087195545585921,34.87706138329077,165.44731240251198,0.7507390401976741,-1.8383259913786525,488.5200045842618
